tokenizer_family,model_name,tokenizer_path,tokenizer_mode,language,length_label,input_chars,worker_processes,chunk_count,chunk_chars,overlap_chars,chat_template_time_ms,mp_dispatch_process_collect_time_ms,chunk_dedup_time_ms,lopt_e2e_time_ms,native_e2e_time_ms,native_tokenizer_time_ms,native_output_tokens,native_token_hash,lopt_output_tokens,lopt_token_hash,exact_match,fallback_used,fallback_serial_time_ms,fallback_token_hash,error_message,candidate_status,actual_chunk_count,e2e_speedup_x,tokenizer_speedup_x,tokenizer_time_drop_pct
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1k,1024,2,1,1024,512,0.0,0.767,0.0,0.767,3.941,3.732,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,195,440cf0a20af6b2d1bba7e3ee2d1f84da3841e9a97f5c2d30f5d3632bb7d98572,True,False,,,,valid,1,5.138,4.866,79.448
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,4k,4096,2,4,1024,64,0.0,1.704,0.39,2.094,6.139,5.751,904,55a582c1b36a0b6939bdf6bcfb5e057f10e5c98d807102ad3e0e93ab489330a0,904,55a582c1b36a0b6939bdf6bcfb5e057f10e5c98d807102ad3e0e93ab489330a0,True,False,,,,valid,4,2.932,3.375,70.37
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,8k,8192,8,4,2048,64,0.0,2.874,0.714,3.588,9.13,8.799,1750,014ca5abfc22396d0dae0e43e9f2d1bfe39f4c383792c9aed684f002b324ca69,1750,014ca5abfc22396d0dae0e43e9f2d1bfe39f4c383792c9aed684f002b324ca69,True,False,,,,valid,4,2.545,3.062,67.337
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,16k,16384,4,4,4096,32,0.0,3.048,1.131,4.179,13.858,13.47,3390,04557f437df944faee82fa63347373ad726743804a1a710315e1decb46166f20,3390,04557f437df944faee82fa63347373ad726743804a1a710315e1decb46166f20,True,False,,,,valid,4,3.316,4.419,77.372
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,32k,32768,8,16,2048,64,0.0,5.846,3.099,8.945,23.346,22.888,6860,22d2acec1033f8978f54bde83b76988db981cbc8469ca0b84bbfb3d81996053f,6860,22d2acec1033f8978f54bde83b76988db981cbc8469ca0b84bbfb3d81996053f,True,False,,,,valid,16,2.61,3.915,74.458
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,64k,65536,8,16,4096,32,0.0,10.696,5.938,16.634,42.896,42.156,13849,f93ba46486199b3afb69f8e347831d5772ab09ca1c4aff428a81755b133fc66f,13849,f93ba46486199b3afb69f8e347831d5772ab09ca1c4aff428a81755b133fc66f,True,False,,,,valid,16,2.579,3.941,74.628
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,128k,131072,8,4,32768,128,0.0,22.971,9.663,32.634,80.271,79.213,27769,db3d6d844cc4b2d6acce65f32410398abfbff821cb82854c75985927a8b961d3,27769,db3d6d844cc4b2d6acce65f32410398abfbff821cb82854c75985927a8b961d3,True,False,,,,valid,4,2.46,3.448,71.001
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,256k,262144,4,16,16384,128,0.0,43.088,23.631,66.719,165.855,164.258,56643,95546d014e76a33c5b62608c2b9778b18f221a9eb1b920eac764388ea774913e,56643,95546d014e76a33c5b62608c2b9778b18f221a9eb1b920eac764388ea774913e,True,False,,,,valid,16,2.486,3.812,73.768
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,512k,524288,4,4,131072,128,0.0,87.576,37.148,124.724,315.143,312.796,111298,ea9b81c12f31d5aaeb9de6300278e2290c882264ba4c69643ce2694b653750ab,111298,ea9b81c12f31d5aaeb9de6300278e2290c882264ba4c69643ce2694b653750ab,True,False,,,,valid,4,2.527,3.572,72.002
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,720k,737280,8,4,184320,128,0.0,123.206,52.644,175.85,436.534,433.317,157358,c01bae33c3a2cb7c923cf43371bbdf89680e71f66a208f5c01ae65c193378e83,157358,c01bae33c3a2cb7c923cf43371bbdf89680e71f66a208f5c01ae65c193378e83,True,False,,,,valid,4,2.482,3.517,71.567
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,880k,901120,32,128,7040,1024,0.0,63.385,109.166,172.551,526.443,522.858,192178,84eda32f3babcb368f4c423bbb259b0601af152de701b11ab38e3bdeaf5915ec,192178,84eda32f3babcb368f4c423bbb259b0601af152de701b11ab38e3bdeaf5915ec,True,False,,,,valid,128,3.051,8.249,87.877
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,en,1024k,1048576,32,128,8192,64,0.0,62.195,102.292,164.487,666.262,662.191,222766,edee7a6abf083a018907efdb820263cc394fa1f3bee27b328e990f285bbd5c82,222766,edee7a6abf083a018907efdb820263cc394fa1f3bee27b328e990f285bbd5c82,True,False,,,,valid,128,4.051,10.647,90.608
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,zh,1k,1024,2,1,1024,512,0.0,1.21,0.0,1.21,48.451,47.867,534,41b547532ee6d513a50b10931b018bd92cddde43d9053fd6a27eebd48814bed6,534,41b547532ee6d513a50b10931b018bd92cddde43d9053fd6a27eebd48814bed6,True,False,,,,valid,1,40.042,39.56,97.472
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,zh,4k,4096,2,2,2048,64,0.0,2.377,0.555,2.932,22.918,22.425,2287,d02ed0c9cb5681c26ec3807c82eb98bedfbcb09de310619a0fda8a2f0b062e4a,2287,d02ed0c9cb5681c26ec3807c82eb98bedfbcb09de310619a0fda8a2f0b062e4a,True,False,,,,valid,2,7.817,9.434,89.4
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,zh,8k,8192,2,2,4096,64,0.0,4.495,1.224,5.719,21.287,20.735,4554,8311e814f8225d0254bf3a9f909f4d7944d2a4be995f04aff27e6be0eda29b2c,4554,8311e814f8225d0254bf3a9f909f4d7944d2a4be995f04aff27e6be0eda29b2c,True,False,,,,valid,2,3.722,4.613,78.322
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,zh,16k,16384,8,4,4096,64,0.0,5.338,3.515,8.853,34.593,33.929,9087,1d942ebe200fd141fe974cc4a4525a48109eb6835bee5aee5244af3c4b5889b6,9087,1d942ebe200fd141fe974cc4a4525a48109eb6835bee5aee5244af3c4b5889b6,True,False,,,,valid,4,3.907,6.356,84.267
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,zh,32k,32768,4,8,4096,32,0.0,9.51,7.405,16.915,59.363,58.51,18154,5ed3144c1fde632d5de0957fa7a1c81dccb41f020b769e7dbd5674e2a606da81,18154,5ed3144c1fde632d5de0957fa7a1c81dccb41f020b769e7dbd5674e2a606da81,True,False,,,,valid,8,3.509,6.152,83.746
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,zh,64k,65536,8,8,8192,64,0.0,18.211,14.336,32.547,77.963,76.743,36326,572ebf8fea3ed0d002a23bd5df513f98c35f3c75ba38c8d8fa5132c860ae00ff,36326,572ebf8fea3ed0d002a23bd5df513f98c35f3c75ba38c8d8fa5132c860ae00ff,True,False,,,,valid,8,2.395,4.214,76.27
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,zh,128k,131072,4,16,8192,32,0.0,34.35,29.848,64.198,136.67,134.745,72695,83c874a58045ecb210a32665e8cb45b07c8e4ac26b19296f7836210af4731d67,72695,83c874a58045ecb210a32665e8cb45b07c8e4ac26b19296f7836210af4731d67,True,False,,,,valid,16,2.129,3.923,74.507
Qwen3.5,Qwen/Qwen3.5-27B,/root/LoPT/tokenizers/qwen3_5_4b,hf,zh,256k,262144,8,4,65536,128,0.0,80.742,50.574,131.316,321.947,319.062,145453,b2ac9e8fd26fc528d587eb97366403ec7cb233de3f649909025eb394309ff05b,145453,b2ac9e8fd26fc528d587eb97366403ec7cb233de3f649909025eb394309ff05b,True,False,,,,valid,4,2.452,3.952,74.694
